start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,number_of_page_flips
2024-05-25T17:57:12Z,2024-05-25T17:57:43Z,B0CD818TD3,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,30400,10
2024-05-26T12:08:21Z,2024-05-26T12:08:54Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,32900,1
2024-06-03T05:26:42Z,2024-06-03T05:27:00Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,18300,1
2024-05-27T14:59:21Z,2024-05-27T14:59:32Z,B008J2MMWU,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,11100,1
2024-05-28T09:08:30Z,2024-05-28T09:08:37Z,B005CHB726,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,7600,2
2024-05-25T18:22:52Z,2024-05-25T18:23:16Z,BBU7EYJ950,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,23600,5
2024-05-28T10:02:53Z,2024-05-28T10:03:04Z,B005CHB726,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,10900,1
Not Available,2024-05-24T14:58:57Z,D202759FCF9C46E8B777BE4A99F2C097,,India,,de95d070027c4d039dbc90b3507de523,,Personal Document,,
2024-05-25T15:43:33Z,2024-05-25T15:44:14Z,BB6XD881NT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,41300,1
Not Available,2024-05-24T12:47:00Z,B2FD87951E7B4EC39AAFF3AF6AB58CFA,,India,Kindle E-reader,G0010212031209K8,,Personal Document,,
2024-06-01T07:26:15Z,2024-06-01T07:27:06Z,,,India,Kindle E-reader,G0010212031209K8,4212840015,SIDE,51300,5
2024-06-02T05:26:19Z,2024-06-02T05:27:06Z,2c256f59-3d97-4cc8-ab74-87dbe88a60b9,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,47100,1
2024-06-02T05:25:15Z,2024-06-02T05:26:13Z,2c256f59-3d97-4cc8-ab74-87dbe88a60b9,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,58700,10
2024-05-25T17:18:33Z,2024-05-25T17:19:00Z,b303acdf-da1a-440f-acb3-abcbbb4edbf1,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,27300,9
2024-05-25T18:17:04Z,2024-05-25T18:19:27Z,BBU7EYJ950,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,142900,1
2024-05-25T16:21:07Z,2024-05-25T16:21:39Z,B0CD818TD3,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,32300,19
2024-05-25T18:28:38Z,2024-05-25T18:29:10Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,31800,13
2024-06-04T11:19:01Z,2024-06-04T11:40:27Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1285700,100
2024-05-29T15:17:54Z,2024-05-29T15:17:59Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,4600,1
2024-05-24T14:58:53Z,2024-05-24T14:58:56Z,D202759FCF9C46E8B777BE4A99F2C097,,India,,de95d070027c4d039dbc90b3507de523,1285786600,Personal Document,3800,1
2024-05-30T17:43:13Z,2024-05-30T17:47:22Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,249200,6
2024-06-03T14:20:02Z,2024-06-03T14:57:33Z,5L586YTZTA23O6AHNVWVHL39OHLF9ZFY,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,2251300,134
2024-06-04T15:44:47Z,2024-06-04T15:45:42Z,BBRULK1OS4,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,55200,13
2024-05-28T09:11:43Z,2024-05-28T09:11:53Z,B07D23CFGR,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,10700,1
2024-05-28T09:20:26Z,2024-05-28T09:20:36Z,B098MHBF23,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,10500,1
2024-05-30T11:22:08Z,2024-05-30T11:56:59Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,2091100,56
2024-05-26T15:15:54Z,2024-05-26T15:16:00Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,6000,3
2024-06-02T07:19:13Z,2024-06-02T07:22:01Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,167200,6
2024-05-30T10:59:57Z,2024-05-30T11:16:48Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1011000,20
2024-05-24T15:22:39Z,2024-05-24T15:40:17Z,D202759FCF9C46E8B777BE4A99F2C097,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,1057500,7
Not Available,2024-05-24T14:43:53Z,B970F39A74AA4E4A96FDFFD016365701,,India,,de95d070027c4d039dbc90b3507de523,,Personal Document,,
2024-06-02T15:43:31Z,2024-06-02T16:05:07Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1295700,36
2024-05-26T02:14:50Z,2024-05-26T02:15:08Z,9870edf2-f513-4b5e-aebb-76fe14f7f595,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,18200,16
2024-06-03T06:15:44Z,2024-06-03T06:44:37Z,5L586YTZTA23O6AHNVWVHL39OHLF9ZFY,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1733100,100
2024-05-26T12:16:01Z,2024-05-26T12:26:19Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,617800,15
2024-05-25T10:34:14Z,2024-05-25T10:34:14Z,BB6T5UEZ62,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,0,1
2024-05-25T14:59:16Z,2024-05-25T14:59:34Z,b303acdf-da1a-440f-acb3-abcbbb4edbf1,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,17600,14
2024-05-25T18:22:44Z,2024-05-25T18:22:44Z,BBU7EYJ950,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,600,1
2024-05-30T17:54:29Z,2024-05-30T17:54:44Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,15000,17
2024-05-31T08:08:09Z,2024-05-31T08:09:00Z,4b0a0ef9-0120-4e4e-a9d7-e11a67976292,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,50300,51
2024-05-25T18:06:50Z,2024-05-25T18:08:01Z,BBMY4M0AJ4,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,71100,20
2024-05-25T18:29:15Z,2024-05-25T18:30:25Z,BBU7EYJ950,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,70300,39
2024-05-24T14:55:56Z,2024-05-24T15:11:17Z,D202759FCF9C46E8B777BE4A99F2C097,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,921600,11
2024-05-26T15:19:46Z,2024-05-26T15:20:47Z,BBP35ORGWS,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,61300,22
2024-05-25T17:59:56Z,2024-05-25T18:00:13Z,478045a9-70c5-46ec-a683-e022f2a3e986,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,16800,13
2024-05-25T15:41:50Z,2024-05-25T15:43:30Z,B0C1YY5SQR,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,100800,1
2024-06-02T04:46:47Z,2024-06-02T04:46:58Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,11200,1
2024-05-25T17:39:24Z,2024-05-25T17:39:29Z,1ce0b059-53fa-4f34-97d1-f44b800c62c8,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,5900,2
2024-05-27T05:31:13Z,2024-05-27T05:58:05Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1612300,41
