author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"চট্টোপাধ্যায়, সঞ্জীব","সঞ্জীব চট্টোপাধ্যায়","","348","","2024-02-01T23:30:00+05:30","Kindle Bangla","Kindle Bangla","মৃগয়া","89102a78-4faa-4e56-b38c-4ef303ab3588"
"ভার্ন, জুল","জুল ভার্ন","","349","","2024-03-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","জার্নি টু দি সেন্টার অব দি আর্থ","892b68cb-a8c9-47cd-b25e-7e3ec73ddeb6"
"বসু, সমরেশ","সমরেশ বসু","","350","","2023-05-19T23:30:00+05:30","Kindle Bangla","Kindle Bangla","বিশ্বাস","08b72310-499f-4b50-b7de-8dea975548f6"
"ভার্ন, জুল","জুল ভার্ন","","351","","2024-03-11T23:30:00+05:30","Kindle Bangla","Kindle Bangla","এরাউন্ড দ্য ওয়ার্ল্ড ইন এইটি ডেজ","a2463706-b33a-42a9-b70f-1bd1df49b524"
"বন্দ্যোপাধ্যায়, শরদিন্দু","শরদিন্দু বন্দ্যোপাধ্যায়","","352","","2023-08-22T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ঝিন্দের বন্দী","29e57aa1-614f-4880-b102-99e8a4e1f1a7"
"বন্দ্যোপাধ্যায়, শরদিন্দু","শরদিন্দু বন্দ্যোপাধ্যায়","","353","","2019-06-01T00:00:00+05:30","Kindle Bangla","Kindle Bangla","বোমক্যাশ সমগ্র","9ba0185a-6dfc-4868-87c0-c07fbe3af9bb"
"সান্যাল, নারায়ণ","নারায়ণ সান্যাল","","354","","2024-01-29T23:30:00+05:30","Kindle Bangla","Kindle Bangla","আম্রপালী","c6f5aa66-79d7-48fc-b121-2bd36dded13f"
"সান্যাল, নারায়ণ","নারায়ণ সান্যাল","","355","","2024-01-29T23:30:00+05:30","Kindle Bangla","Kindle Bangla","আবার যদি ইচ্ছা কর","16b38f79-2d74-4813-9154-18ce7a1ad17b"
"বন্দ্যোপাধ্যায়, শরদিন্দু","শরদিন্দু বন্দ্যোপাধ্যায়","","356","","2023-08-22T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ছায়াপথিক","35b3758c-8929-4b56-aa9f-ebddf1677462"
"বিবেকানন্দ, স্বামী","স্বামী বিবেকানন্দ","","357","","2023-08-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","কর্মযোগ","c3f0d870-b007-4286-8cd8-1235ad8effd9"
"বিবেকানন্দ, স্বামী","স্বামী বিবেকানন্দ","","358","","2023-08-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","জ্ঞানযোগ-প্রসঙ্গে","6cc37ead-b2c4-408a-9c15-5c916d691bfb"
"সান্যাল, নারায়ণ","নারায়ণ সান্যাল","","359","","2024-01-29T23:30:00+05:30","Kindle Bangla","Kindle Bangla","কাঁটায়-কাঁটায় - প্ৰথম খণ্ড","66996778-8846-4f51-b0b8-16423f8232bd"
"হকিং, স্টিফেন","স্টিফেন হকিং","","360","","2023-08-15T23:30:00+05:30","Kindle Bangla","Kindle Bangla","কালের সংক্ষিপ্ত ইতিহাস","11e106f0-902e-4ed0-90d2-327f84866e7a"
"হকিং, স্টিফেন","স্টিফেন হকিং","","361","","2023-08-15T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ব্ল্যাকহোল","ac273d6f-e2a8-4f8c-b67e-8bd4271cef03"
"দেব, অনীশ","অনীশ দেব","","362","","2023-08-18T23:30:00+05:30","Kindle Bangla","Kindle Bangla","তেইশ ঘণ্টা ষাট মিনিট","b19dd5ff-f194-46f7-be95-ed96d8b0c9e7"
"দেব, অনীশ","অনীশ দেব","","363","","2023-09-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","তুমি পিশাচ","7f344174-0082-4bab-b4bc-683873ad14f2"
"দেব, অনীশ","অনীশ দেব","","364","","2023-09-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","সরি, রং নাম্বার","80fa31f7-b78d-41bf-b53e-645339861b65"
